id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
891184,live@the historic center,4723074,Ilias,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.981345201934815,23.72018994237477,Private room,30,2,44,2018-04-29,0.69,2,358
896212,Dreamstudio inside multilevel garden in citycenter,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.988341416055974,23.738766067076448,Entire home/apt,45,2,234,2018-07-08,3.57,20,300
905315,Dream Studio hidden by multi level Garden!,4777984,Romanos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98795868703373,23.737320309381047,Entire home/apt,40,2,259,2018-07-10,4.04,20,282
906698,"Spacious, Rare & Luxurious Home in Plaka-Acropolis",417146,Anastasia,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97408306128321,23.731927007604003,Entire home/apt,74,2,230,2018-07-06,3.57,2,258
911238,"Central furnished 2BR apartment,near to Acropolis",43566,Toula,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95955599909977,23.728444441727333,Entire home/apt,60,2,1,2017-05-02,0.03,3,333
911251,"Lovely, central 1BR apartment near to Acropolis",43566,Toula,,ΝΕΟΣ ΚΟΣΜΟΣ,37.95976025196922,23.729770434065752,Entire home/apt,55,2,12,2015-07-25,0.23,3,339
912287,New cozy  economic great location  ,4895067,Marinos,,ΝΕΑ ΚΥΨΕΛΗ,38.001458754550136,23.745739786187215,Entire home/apt,24,3,100,2018-07-04,1.54,1,334
912425,"Large apt, in heritage building, Central Ath Metro",4895605,Isabella,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ,37.992111340586604,23.730801007855312,Entire home/apt,45,1,32,2018-07-12,2.43,1,342
916135,Unique Penthouse Athens Hilton Area,1409607,Ioannis,,ΙΛΙΣΙΑ,37.97687981084812,23.752535041647068,Entire home/apt,75,3,43,2018-06-28,0.68,2,335
918776,Athens Soul Apartments Psiri,4935030,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97749695808175,23.725431996745687,Entire home/apt,40,3,250,2018-07-07,3.83,3,296
918812,Athens Soul Apartments Plaka,4935030,Dimitris,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.969859435055255,23.731203858464916,Entire home/apt,40,3,260,2018-07-13,4.02,3,298
922448,Sky View of Athens on the 9th floor,4959472,'Nikos,,ΠΕΤΡΑΛΩΝΑ,37.96463034104133,23.709447073002938,Entire home/apt,70,1,0,,,1,365
932144,Art decorated house Athens Kolonaki,5022706,Evangelia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98227617135383,23.73876513318238,Entire home/apt,100,7,2,2017-07-12,0.05,1,358
932359,25min. walking distance from center,163481,Alexandros,,ΓΟΥΒΑ,37.962024767822115,23.743484534528047,Entire home/apt,19,7,70,2018-06-20,1.10,2,347
940213,3 apts in 1 building. Roof terrace. Next to Plaka.,1418201,Dean,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97951417452899,23.72452256388045,Entire home/apt,182,2,17,2018-02-05,0.29,58,306
947552,"Smart, simple and comfy in Kolonaki",5136160,Vassilis & Roula,,ΚΟΛΩΝΑΚΙ,37.97870106648818,23.745020833689804,Entire home/apt,60,3,31,2018-03-31,0.48,1,134
